Year,num_movies,num_tv_shows,total_releases,Action & Adventure,Anime Features,Anime Series,British TV Shows,Children & Family Movies,Classic & Cult TV,Classic Movies,Comedies,Crime TV Shows,Cult Movies,Documentaries,Docuseries,Dramas,Horror Movies,Independent Movies,International Movies,International TV Shows,Kids' TV,LGBTQ Movies,Movies,Music & Musicals,Reality TV,Romantic Movies,Romantic TV Shows,Sci-Fi & Fantasy,Spanish-Language TV Shows,Sports Movies,Stand-Up Comedy,Stand-Up Comedy & Talk Shows,TV Action & Adventure,TV Comedies,TV Dramas,TV Horror,TV Sci-Fi & Fantasy,TV Shows,Thrillers
2008,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2009,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,13,0,13,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,3,0,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,6,5,11,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0
2014,19,5,24,1,0,0,0,4,1,0,0,1,0,8,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0
2015,56,26,82,2,0,0,6,11,1,0,7,1,0,13,0,8,2,0,0,1,8,0,1,0,0,0,1,0,0,0,12,0,1,4,2,1,0,0,0
2016,253,176,429,18,1,14,19,19,1,2,33,19,0,68,13,53,4,0,2,53,37,0,12,4,2,0,1,0,0,0,36,1,2,6,6,0,0,2,1
2017,839,349,1188,97,1,11,48,77,7,15,136,49,0,187,26,200,30,2,20,135,36,0,4,2,3,1,3,0,0,0,62,5,2,10,11,0,1,2,5
2018,1237,412,1649,173,3,22,43,80,2,3,244,78,2,163,37,352,60,6,26,110,55,0,19,7,21,0,3,5,1,1,86,14,3,14,6,1,0,2,7
2019,1424,592,2016,202,6,42,62,136,1,29,286,96,4,186,45,365,82,5,27,191,74,0,7,0,22,1,6,5,0,0,65,4,9,25,9,3,0,3,18
2020,1284,595,1879,170,8,46,44,158,4,21,302,90,3,107,50,346,54,5,37,154,89,1,5,5,42,1,7,1,0,0,48,5,10,32,17,3,0,2,12
2021,993,505,1498,196,2,40,30,116,3,10,201,63,2,96,48,262,42,2,16,129,86,0,7,0,30,0,11,2,1,0,17,4,12,27,13,3,0,5,22
