ds,yhat
2008-01-01,-309.6453334562885
2009-01-01,-222.61978385907935
2010-01-01,-94.3797266320511
2011-01-01,32.987236348518536
2012-01-01,159.4688518184832
2013-01-01,246.49440150153083
2014-01-01,374.7344588193637
2015-01-01,502.1014218469083
2016-01-01,628.5830374218997
2017-01-01,715.6085872173614
2018-01-01,843.8486446255928
2019-01-01,971.2156077836768
2020-01-01,1097.697223442382
2021-01-01,1184.7227732876636
2021-12-31,1347.9637324106518
2022-12-31,1471.7324936240648
2023-12-31,1594.5836639486952
2024-12-31,1692.3970881483672
2025-12-31,1817.0779185177382
