ds,yhat
2008-01-01,-441.0764303132921
2009-01-01,-333.3607061842812
2010-01-01,-143.74407187847567
2011-01-01,46.057474888030754
2012-01-01,236.01893525890404
2013-01-01,343.7346610696066
2014-01-01,533.3512965011821
2015-01-01,723.1528441685446
2016-01-01,913.1143056021814
2017-01-01,1020.8300326447402
2018-01-01,1210.4466695783913
2019-01-01,1400.2482190981639
2020-01-01,1590.2096812713503
2021-01-01,1697.9254081745514
2021-12-31,1970.511833904215
2022-12-31,2160.802122506625
2023-12-31,2351.151592297799
2024-12-31,2457.4013227184246
2025-12-31,2647.6072096276207
