ds,yhat
2008-01-01,-131.39377667086453
2009-01-01,-110.69846527994022
2010-01-01,-49.54175551496482
2011-01-01,12.910579948640674
2012-01-01,76.64577834195586
2013-01-01,97.34108979252503
2014-01-01,158.4977995908211
2015-01-01,220.9501350959021
2016-01-01,284.685333544302
2017-01-01,305.3806450362923
2018-01-01,366.53735489867285
2019-01-01,428.9896904409146
2020-01-01,492.72488889354076
2021-01-01,513.4202003894868
2021-12-31,623.9819058485334
2022-12-31,691.4673511202024
2023-12-31,760.1629678379701
2024-12-31,765.7675548927991
2025-12-31,832.021461195139
